epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3283.82,3.21646,1.21973,1.67945,0.83731,0.74164,0.8146,0.48586,3.09544,0.95984,1.66964,0.008119,0.008119,0.008119
59,3340.06,3.25323,1.22493,1.67811,0.84518,0.74696,0.81819,0.4859,3.05479,0.95918,1.66537,0.008086,0.008086,0.008086
60,3395.86,3.27281,1.21935,1.67427,0.84611,0.74544,0.82,0.48642,3.05464,0.95611,1.65895,0.008053,0.008053,0.008053
61,3452.46,3.23274,1.21209,1.6674,0.84338,0.74561,0.81353,0.48201,3.08387,0.95044,1.65767,0.00802,0.00802,0.00802
62,3509.31,3.19274,1.20635,1.66667,0.8459,0.74902,0.81327,0.48575,3.04706,0.94429,1.65805,0.007987,0.007987,0.007987
63,3565.62,3.19641,1.18944,1.66821,0.83828,0.75871,0.81533,0.49126,3.02998,0.93939,1.64389,0.007954,0.007954,0.007954
64,3621.53,3.16286,1.18786,1.65914,0.84244,0.75481,0.8157,0.49136,3.02124,0.92569,1.64055,0.007921,0.007921,0.007921
65,3677.42,3.22287,1.19885,1.6709,0.84484,0.74409,0.81979,0.48768,3.0107,0.94097,1.65268,0.007888,0.007888,0.007888
66,3733.56,3.17815,1.1796,1.65788,0.85491,0.75763,0.82522,0.49811,3.02219,0.92481,1.6382,0.007855,0.007855,0.007855
67,3789.18,3.16343,1.1827,1.65992,0.85074,0.75504,0.82153,0.48909,3.04041,0.92343,1.64797,0.007822,0.007822,0.007822
68,3844.91,3.15053,1.18071,1.65407,0.84225,0.76685,0.82609,0.49464,2.99293,0.92049,1.64219,0.007789,0.007789,0.007789
69,3900.74,3.12371,1.17764,1.65168,0.84647,0.76295,0.82412,0.49301,2.94467,0.92231,1.63576,0.007756,0.007756,0.007756
70,3956.32,3.14097,1.18359,1.64978,0.84236,0.76138,0.82594,0.4966,2.97728,0.92685,1.63237,0.007723,0.007723,0.007723
71,4012.02,3.10412,1.17997,1.65001,0.8423,0.75964,0.82512,0.49508,2.95654,0.92344,1.63597,0.00769,0.00769,0.00769
72,4067.83,3.13013,1.17156,1.64598,0.85986,0.75372,0.82985,0.49946,2.9416,0.9166,1.62918,0.007657,0.007657,0.007657
73,4123.55,3.1282,1.16939,1.6417,0.85855,0.75356,0.82536,0.50327,2.91342,0.91368,1.61884,0.007624,0.007624,0.007624
