epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3476.65,0.82316,0.91625,1.46422,0.8939,0.83669,0.88673,0.54856,0.79157,0.69437,1.4487,0.007954,0.007954,0.007954
64,3531.47,0.82459,0.91241,1.45743,0.90036,0.83663,0.88784,0.54432,0.79067,0.68857,1.43689,0.007921,0.007921,0.007921
65,3586.27,0.82413,0.9177,1.46713,0.90013,0.82538,0.88577,0.54504,0.7891,0.69841,1.44214,0.007888,0.007888,0.007888
66,3641.33,0.82214,0.90471,1.45276,0.89711,0.84218,0.88865,0.55196,0.78524,0.69119,1.42588,0.007855,0.007855,0.007855
67,3696,0.82209,0.91149,1.45967,0.8961,0.84624,0.8959,0.55396,0.78738,0.68603,1.43108,0.007822,0.007822,0.007822
68,3750.68,0.82196,0.90687,1.45162,0.90363,0.83753,0.89146,0.55216,0.78666,0.68788,1.42844,0.007789,0.007789,0.007789
69,3805.81,0.82067,0.90643,1.45,0.89956,0.83142,0.88803,0.54874,0.78402,0.68863,1.42257,0.007756,0.007756,0.007756
70,3861.34,0.82163,0.90229,1.44724,0.88789,0.84519,0.88678,0.54804,0.78671,0.68837,1.42361,0.007723,0.007723,0.007723
71,3916.3,0.82217,0.90204,1.44786,0.89384,0.8532,0.89167,0.55265,0.7866,0.68117,1.42334,0.00769,0.00769,0.00769
72,3971.35,0.81875,0.89746,1.44574,0.89255,0.84524,0.89342,0.55728,0.7829,0.67408,1.42185,0.007657,0.007657,0.007657
73,4026.47,0.81968,0.89991,1.4433,0.90034,0.83914,0.89172,0.55856,0.78053,0.67374,1.41909,0.007624,0.007624,0.007624
74,4081.26,0.81522,0.89544,1.43428,0.89052,0.84849,0.89086,0.55614,0.78325,0.67525,1.41668,0.007591,0.007591,0.007591
75,4136.06,0.82028,0.90073,1.44657,0.89379,0.84122,0.88941,0.55507,0.78088,0.67471,1.41459,0.007558,0.007558,0.007558
76,4191.1,0.81925,0.89142,1.43147,0.91013,0.83707,0.88977,0.55352,0.78201,0.67403,1.41087,0.007525,0.007525,0.007525
77,4245.99,0.82238,0.90762,1.4381,0.90108,0.83838,0.89126,0.55755,0.78421,0.67505,1.41084,0.007492,0.007492,0.007492
78,4300.81,0.81843,0.89742,1.43202,0.90486,0.83658,0.89287,0.55153,0.78513,0.67228,1.41284,0.007459,0.007459,0.007459
79,4355.6,0.81761,0.88806,1.43434,0.89772,0.84255,0.89099,0.54915,0.78375,0.66946,1.41078,0.007426,0.007426,0.007426
80,4410.67,0.81921,0.89112,1.42723,0.89748,0.84413,0.89545,0.5561,0.78328,0.66856,1.40592,0.007393,0.007393,0.007393
81,4465.22,0.82007,0.88465,1.4275,0.90519,0.84207,0.89484,0.54813,0.7874,0.66838,1.41176,0.00736,0.00736,0.00736
82,4519.69,0.81755,0.88626,1.42607,0.90214,0.84711,0.89529,0.55552,0.78337,0.66256,1.40978,0.007327,0.007327,0.007327
83,4574.4,0.81368,0.88759,1.41894,0.90454,0.84614,0.89572,0.5571,0.78083,0.66232,1.40422,0.007294,0.007294,0.007294
84,4629.06,0.81543,0.87471,1.42175,0.89899,0.84909,0.89493,0.55755,0.77971,0.66001,1.39863,0.007261,0.007261,0.007261
85,4683.68,0.8148,0.8846,1.42119,0.89925,0.84681,0.8949,0.56071,0.78059,0.66011,1.39553,0.007228,0.007228,0.007228
86,4738.6,0.81193,0.86841,1.41411,0.89345,0.85649,0.89415,0.55965,0.78159,0.65587,1.39691,0.007195,0.007195,0.007195
87,4794.05,0.81509,0.87737,1.41139,0.90344,0.85101,0.89392,0.55623,0.78151,0.65635,1.39476,0.007162,0.007162,0.007162
88,4849.59,0.81371,0.87946,1.41537,0.90597,0.84745,0.89694,0.56067,0.77853,0.6504,1.39002,0.007129,0.007129,0.007129
89,4905.27,0.81175,0.87624,1.41588,0.89893,0.84961,0.8944,0.56122,0.77927,0.65126,1.39224,0.007096,0.007096,0.007096
90,4960.8,0.81283,0.87192,1.40649,0.90147,0.84834,0.89749,0.55895,0.78118,0.65189,1.39187,0.007063,0.007063,0.007063
91,5016.13,0.81411,0.87622,1.40989,0.89706,0.8576,0.89696,0.56107,0.78121,0.64982,1.38881,0.00703,0.00703,0.00703
92,5071.65,0.81278,0.8656,1.40301,0.89561,0.8595,0.89775,0.56286,0.77828,0.64702,1.38332,0.006997,0.006997,0.006997
93,5126.48,0.8123,0.87174,1.40554,0.8978,0.85643,0.8972,0.56362,0.77719,0.64786,1.38137,0.006964,0.006964,0.006964
94,5181.37,0.81633,0.88493,1.41323,0.90317,0.85563,0.89756,0.56438,0.77584,0.64687,1.3811,0.006931,0.006931,0.006931
95,5236.26,0.81856,0.87805,1.41225,0.90611,0.85314,0.8978,0.56346,0.77666,0.65,1.38016,0.006898,0.006898,0.006898
96,5291.35,0.81195,0.86672,1.39716,0.89825,0.85368,0.89794,0.56185,0.7765,0.64847,1.3778,0.006865,0.006865,0.006865
97,5346.61,0.81219,0.85898,1.40297,0.90377,0.85776,0.89955,0.56293,0.77695,0.64483,1.37882,0.006832,0.006832,0.006832
98,5401.89,0.81072,0.85711,1.39538,0.89898,0.85591,0.89836,0.56393,0.77651,0.64227,1.3752,0.006799,0.006799,0.006799
99,5457.74,0.80869,0.85802,1.39244,0.90516,0.85848,0.89947,0.56344,0.77704,0.64078,1.37333,0.006766,0.006766,0.006766
100,5512.59,0.80869,0.86606,1.40182,0.91026,0.85691,0.89863,0.56336,0.77583,0.64284,1.37422,0.006733,0.006733,0.006733
101,5567.4,0.81043,0.85513,1.40246,0.90353,0.85791,0.8996,0.56567,0.77462,0.64083,1.37396,0.0067,0.0067,0.0067
102,5622.37,0.80949,0.85753,1.39982,0.90782,0.8576,0.89944,0.56455,0.77399,0.6435,1.37254,0.006667,0.006667,0.006667
103,5677.13,0.80763,0.85402,1.39342,0.90478,0.85581,0.9003,0.56422,0.77483,0.63903,1.37442,0.006634,0.006634,0.006634
104,5731.87,0.80753,0.8592,1.38809,0.90242,0.86055,0.89951,0.56351,0.77491,0.63826,1.37152,0.006601,0.006601,0.006601
105,5787.43,0.81044,0.85254,1.39814,0.90445,0.8587,0.89963,0.56226,0.77405,0.63967,1.36991,0.006568,0.006568,0.006568
106,5842.34,0.80815,0.84047,1.38364,0.90823,0.85614,0.89942,0.56183,0.77414,0.64007,1.37042,0.006535,0.006535,0.006535
107,5896.86,0.80932,0.85655,1.39535,0.90709,0.85814,0.8996,0.56222,0.77482,0.64021,1.37176,0.006502,0.006502,0.006502
108,5951.38,0.80674,0.84802,1.38341,0.90044,0.86174,0.89747,0.56312,0.77502,0.63974,1.3701,0.006469,0.006469,0.006469
109,6007.06,0.80605,0.84757,1.38364,0.90189,0.8616,0.89861,0.56359,0.77576,0.63863,1.36995,0.006436,0.006436,0.006436
110,6061.45,0.80671,0.84548,1.38434,0.90078,0.86117,0.89903,0.56359,0.77674,0.63855,1.369,0.006403,0.006403,0.006403
111,6115.8,0.80379,0.83981,1.38034,0.90018,0.86111,0.89873,0.56489,0.7757,0.63775,1.36656,0.00637,0.00637,0.00637
112,6170.61,0.80794,0.83815,1.3792,0.89799,0.86745,0.89892,0.56569,0.77508,0.63557,1.36411,0.006337,0.006337,0.006337
113,6225.13,0.80541,0.84668,1.38536,0.89633,0.86644,0.89716,0.56446,0.77437,0.63651,1.36525,0.006304,0.006304,0.006304
114,6279.75,0.80814,0.85144,1.3871,0.89886,0.86579,0.89696,0.56439,0.774,0.63564,1.36552,0.006271,0.006271,0.006271
115,6334.7,0.80619,0.83709,1.3798,0.89762,0.8674,0.89665,0.56643,0.77305,0.63592,1.36332,0.006238,0.006238,0.006238
116,6389.76,0.80893,0.85437,1.37705,0.90461,0.86581,0.89775,0.56707,0.77291,0.63587,1.36152,0.006205,0.006205,0.006205
117,6444.37,0.8073,0.83286,1.37558,0.90533,0.86525,0.89856,0.56572,0.77265,0.63463,1.3596,0.006172,0.006172,0.006172
118,6499.1,0.80515,0.8281,1.37003,0.906,0.86679,0.89847,0.56513,0.77274,0.63379,1.35824,0.006139,0.006139,0.006139
119,6554.11,0.80825,0.84629,1.37743,0.90366,0.86535,0.8986,0.56535,0.77224,0.63338,1.35632,0.006106,0.006106,0.006106
120,6608.89,0.80363,0.83223,1.3677,0.90603,0.86452,0.89777,0.56547,0.77223,0.63405,1.35463,0.006073,0.006073,0.006073
121,6663.7,0.80744,0.84222,1.37436,0.90746,0.8656,0.89826,0.56687,0.77228,0.63334,1.35388,0.00604,0.00604,0.00604
