epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,8999.59,1.37379,0.93303,1.38258,0.89478,0.82598,0.88111,0.54194,1.27114,0.71355,1.36002,0.008053,0.008053,0.008053
61,9150.1,1.37262,0.94156,1.38227,0.87647,0.83403,0.8803,0.54257,1.26555,0.70705,1.35011,0.00802,0.00802,0.00802
62,9300.69,1.37652,0.94717,1.38371,0.89251,0.83661,0.88014,0.54098,1.26459,0.70195,1.34475,0.007987,0.007987,0.007987
63,9449.79,1.37785,0.94104,1.37847,0.88015,0.84319,0.88174,0.53969,1.27168,0.70093,1.34687,0.007954,0.007954,0.007954
64,9600.78,1.37654,0.93938,1.373,0.89985,0.83972,0.88273,0.54695,1.25228,0.69527,1.33494,0.007921,0.007921,0.007921
65,9751.44,1.36429,0.92775,1.37063,0.89779,0.82985,0.88257,0.54957,1.26066,0.69285,1.33618,0.007888,0.007888,0.007888
66,9901.64,1.36496,0.93361,1.37259,0.89623,0.8328,0.87919,0.54173,1.2579,0.69391,1.33152,0.007855,0.007855,0.007855
67,10053.1,1.36143,0.91999,1.36461,0.8888,0.83781,0.88278,0.54688,1.2557,0.69209,1.33536,0.007822,0.007822,0.007822
68,10203.5,1.36256,0.9156,1.36744,0.89615,0.8347,0.88509,0.54424,1.26065,0.696,1.33342,0.007789,0.007789,0.007789
69,10354.4,1.3626,0.92898,1.37088,0.88601,0.84297,0.88459,0.54543,1.26455,0.69278,1.33511,0.007756,0.007756,0.007756
70,10505.2,1.37218,0.92757,1.37043,0.89199,0.83851,0.88344,0.54711,1.25903,0.69611,1.33705,0.007723,0.007723,0.007723
71,10655.7,1.36191,0.92394,1.36136,0.90663,0.82756,0.88532,0.54995,1.25894,0.69214,1.33329,0.00769,0.00769,0.00769
